木	tree
林	woods
森	forest
梦	dream
机	machine
植	plant
杏	apricot
呆	dim-witted
枯	withered
村	village
相	one another
本	notebook
案	case
未	not yet
末	last
沫	foam
味	flavor
妹	younger sister
查	investigate
渣	sediment
染	dye
李	plum
桌	table
杂	miscellaneous
若	as if
草	grass
艺	technique
苦	suffering
宽	wide
莫	nobody
模	imitate
漠	desert
墓	grave
苗	seedling
瞄	aim
