川	stream
州	state
顺	obey
水	water
永	eternity
脉	blood vessels
求	request
泉	spring
原	flatlands
泳	swim
洲	continent
沼	marsh
沙	sand
江	Yangtze
汁	juice
潮	tide
源	source
活	lively
消	extinguish
河	river
鱼	fish
渔	fishing
湖	lake
测	fathom
土	soil
均	equal
肚	belly
尘	dust
填	fill in
吐	spit
压	pressure
哇	waaah!
寸	Chinese inch
封	seal
时	time
寺	Buddhist temple
火	fire
灭	destroy
灰	ashes
烦	vexed
炎	inflammation
淡	thin
灯	lamp
点	spot
照	illuminate
